proto,subproto,bulk0,bulk1,bulk2,bulk3,client_packet0,client_packet1,server_packet0,server_packet1,client_bulksize_avg,client_bulksize_dev,server_bulksize_avg,server_bulksize_dev,client_packetsize_avg,client_packetsize_dev,server_packetsize_avg,server_packetsize_dev,client_packets_per_bulk,server_packets_per_bulk,client_effeciency,server_efficiency,byte_ratio,payload_ratio,packet_ratio,client_bytes,client_payload,client_packets,client_bulks,server_bytes,server_payload,server_packets,server_bulks,is_tcp
TLS,,517,99,372,4444,537,392,20,119,321.0,184.41438844804563,2271.5,2172.5,260.75,211.72313879214997,777.1666666666666,624.1357802771943,1.3333333333333333,3.0,0.9232981783317353,0.9742654943169633,0.22367574522839373,0.21197446621175434,0.6666666666666666,1043,963,4,3,4663,4543,6,2,1
TLS,,517,156,721,3900,537,71,20,176,619.0,102.0,2028.0,1872.0,329.5,289.6674817786767,696.0,626.1629180971994,2.0,3.0,0.9393019726858877,0.9712643678160919,0.31561302681992337,0.3052268244575937,0.6666666666666666,1318,1238,4,2,4176,4056,6,2,1
TLS,,517,99,376,3268,537,396,20,119,446.5,70.5,1683.5,1584.5,207.4,216.22173803759884,693.4,652.1912602910285,2.5,2.5,0.8611378977820636,0.9711566195558119,0.2991058552062302,0.2652212652212652,1.0,1037,893,5,2,3467,3367,5,2,1
QUIC,Google,1325,2121,711,117,1258,83,1258,798,1018.0,307.0,1119.0,1002.0,415.2,470.36981195650725,455.6,490.0043265115116,2.5,2.5,0.9807321772639692,0.9824407374890255,0.9113257243195786,0.9097408400357462,1.0,2076,2036,5,2,2278,2238,5,2,0
TLS,,517,156,682,5200,537,71,20,176,599.5,82.5,2678.0,2522.0,419.6666666666667,250.89882865852965,785.1428571428571,619.4733773989989,1.5,3.5,0.9523431294678316,0.9745269286754003,0.22907569141193596,0.22386109036594473,0.42857142857142855,1259,1199,3,2,5496,5356,7,2,1
TLS,,521,150,2082,78,541,71,20,170,1301.5,780.5,114.0,36.0,540.6,487.7099957966824,65.6,60.3111929910195,2.5,2.5,0.9630040695523493,0.6951219512195121,8.240853658536585,11.416666666666666,1.0,2703,2603,5,2,328,228,5,2,1
QUIC,GoogleServices,2148,2186,111,0,1258,88,1258,791,1129.5,1018.5,2186.0,0.0,459.8,494.8900483945904,445.2,496.3323080356547,2.5,5.0,0.9826011309264898,0.9820305480682839,1.032794249775382,1.0333943275388837,1.0,2299,2259,5,2,2226,2186,5,1,0
TLS,,517,156,715,5200,537,71,20,176,616.0,99.0,2678.0,2522.0,430.6666666666667,261.3073966721102,785.1428571428571,619.4733773989989,1.5,3.5,0.9535603715170279,0.9745269286754003,0.23508005822416303,0.23002240477968633,0.42857142857142855,1292,1232,3,2,5496,5356,7,2,1
DNS,,57,139,57,139,65,65,147,147,48.0,10.917875251164945,130.6,13.57350360076572,56.0,10.917875251164945,138.6,13.57350360076572,1.0,1.0,0.8571428571428571,0.9422799422799423,0.40404040404040403,0.3675344563552833,1.0,280,240,5,5,693,653,5,5,0
TLS,Teams,517,5840,0,0,537,32,1480,164,517.0,0.0,5840.0,0.0,134.6,201.22385544462665,1188.0,515.0285428983524,5.0,5.0,0.7682020802377415,0.9831649831649831,0.1132996632996633,0.08852739726027398,1.0,673,517,5,1,5940,5840,5,1,1
TLS,,517,137,2590,332,537,71,20,157,1553.5,1036.5,234.5,97.5,796.75,536.7421983596967,98.16666666666667,124.0516245583086,2.0,3.0,0.9748980232193285,0.7962648556876061,5.410865874363328,6.6247334754797444,0.6666666666666666,3187,3107,4,2,589,469,6,2,1
TLS,,532,146,51,69,552,71,20,166,194.66666666666666,239.4024969701769,107.5,38.5,136.8,208.52568187156228,65.4,56.41843670290767,1.6666666666666667,2.5,0.8538011695906432,0.6574923547400612,2.091743119266055,2.7162790697674417,1.0,684,584,5,3,327,215,5,2,1
TLS,,521,156,2996,369,541,71,20,176,1758.5,1237.5,262.5,106.5,723.4,598.6667186339993,125.0,145.17024488510035,2.5,2.5,0.9723527785457562,0.84,5.7872,6.699047619047619,1.0,3617,3517,5,2,625,525,5,2,1
TLS,,517,99,372,4444,537,392,20,119,444.5,72.5,2271.5,2172.5,245.25,225.203657829974,777.1666666666666,624.1357802771943,2.0,3.0,0.9062181447502549,0.9742654943169633,0.21037958395882478,0.19568567026194145,0.6666666666666666,981,889,4,2,4663,4543,6,2,1
DNS,,57,139,56,143,65,64,147,151,56.333333333333336,0.4714045207910317,141.66666666666666,1.8856180831641267,64.33333333333333,0.4714045207910317,149.66666666666666,1.8856180831641267,1.0,1.0,0.8756476683937824,0.9465478841870824,0.4298440979955457,0.3976470588235294,1.0,193,169,3,3,449,425,3,3,0
TLS,Telegram,189,85,297,169,209,317,105,189,213.0,61.18823416311342,127.0,42.0,126.5,114.95325136767555,83.5,70.1017118193272,2.0,2.0,0.841897233201581,0.7604790419161677,2.2724550898203595,2.515748031496063,1.5,759,639,6,3,334,254,4,2,1
TLS,Telegram,221,177,185,169,241,205,197,189,186.33333333333334,27.776888874666213,173.0,4.0,113.16666666666667,95.21452386876467,106.5,86.54623042050994,2.0,2.0,0.8232695139911634,0.812206572769953,1.5938967136150235,1.615606936416185,1.5,679,559,6,3,426,346,4,2,1
QUIC,GoogleServices,2144,2186,79,361,1258,85,1258,795,1111.5,1032.5,1273.5,912.5,563.75,501.67886889921925,432.5,454.97976145465344,2.0,3.0,0.985809312638581,0.9815028901734104,0.8689788053949904,0.872791519434629,0.6666666666666666,2255,2223,4,2,2595,2547,6,2,0
TLS,Microsoft365,621,264,627,287,641,100,20,284,624.0,3.0,275.5,11.5,332.0,233.53479398153928,111.83333333333333,130.04155318803123,2.0,3.0,0.9397590361445783,0.8211624441132638,1.9791356184798807,2.26497277676951,0.6666666666666666,1328,1248,4,2,671,551,6,2,1
TLS,Azure,220,2432,158,120,240,20,1480,992,205.33333333333334,34.26692606905706,1276.0,1156.0,122.66666666666667,82.14959254649749,658.0,603.2350288237578,2.0,2.0,0.8369565217391305,0.9696048632218845,0.2796352583586626,0.2413793103448276,1.5,736,616,6,3,2632,2552,4,2,1
TLS,Azure,220,2433,158,120,240,20,1480,993,167.66666666666666,39.38132665222045,1276.5,1156.5,103.83333333333333,81.86252025330165,658.25,603.373588666259,2.0,2.0,0.8073836276083467,0.9696164071401443,0.23661222939612608,0.19702311006658832,1.5,623,503,6,3,2633,2553,4,2,1
TLS,Telegram,329,133,265,169,349,285,153,189,259.6666666666667,58.9085920916654,151.0,18.0,149.83333333333334,136.35177136933555,95.5,76.56533158029161,2.0,2.0,0.8665183537263627,0.7905759162303665,2.3534031413612566,2.5794701986754967,1.5,899,779,6,3,382,302,4,2,1
